index,private write key cipher size,public write key size,data cipher size,signature size,plaintext size,package size
4ccbfd5b-6f66-4fcd-bad2-8ed504a318aa,7477,178,62318,64,41224,93575
d00c72c3-db31-409b-a994-c7b08fa7e21f,7508,178,63138,64,41841,94707
491ab7e6-a387-4fb4-b28d-e7da386e31e6,7492,178,64582,64,42930,96615
5efcf773-ca72-47d7-8463-8c6cd5e3aff5,7502,178,60904,64,40162,91723
96a3f4db-95fa-4096-b5c7-265cf0bf3f6e,7508,178,63387,64,42016,95039
1174dfcf-fc63-4a19-9882-61ede35b8bb7,7495,178,64006,64,42502,95851
16aa3b51-88a8-41a8-bdb9-212afe7bf86f,7488,179,63566,64,42165,95251
f5b5c97e-b04f-4453-b62a-c265d568a93d,7512,179,62569,64,41411,93955
55a4b6c3-39fe-4062-909e-edf4d516a011,7496,177,63926,64,42438,95739
df27ab9b-80fe-432d-acb5-cfe47429735f,7503,179,63598,64,42194,95315
5b6fb33d-f9fe-46e4-9c32-47015817db76,7493,178,63750,64,42317,95503
7327fbd3-c778-42dd-bab9-03e850302780,7501,179,62464,64,41331,93803
295294a0-d1ae-4007-bb4e-2a577fb281e1,7504,178,64021,64,42510,95883
4e04123d-4dcb-495e-b961-41b15c7d0972,7493,177,65090,64,43314,97287
21dddadf-33b7-455e-a406-cf8b0524fea4,7503,179,63381,64,42023,95023
df85bd57-1b0c-4633-9e0f-d99cd2ee452b,7478,179,63977,64,42487,95787
2155c3c0-919d-4c8f-a4c0-fa6358c0f0b6,7498,176,64478,64,42858,96479
1ca39069-5e59-42e5-8445-9807ef394bd9,7505,177,64648,64,42982,96714
0d111bcb-4285-4ae1-bd9c-03b7414885f7,7497,177,64371,64,42781,96331
5e3a6a42-9eb7-480b-ad06-59fbffcf86cf,7501,178,63243,64,41928,94839
87ac38a3-db47-4e02-94a3-703f751bd135,7493,179,63639,64,42209,95355
a428e8f2-41ab-4b2b-82ad-880b60350bdc,7498,179,62543,64,41411,93903
6d76aad8-6af8-4315-95d1-82e52e1346ac,7503,178,63041,64,41784,94571
9f3a5186-c433-42ba-aa9d-2dfdd5fcb5d9,7510,178,63403,64,42052,95067
6bf8b59e-078e-4b80-b7a4-b65a683b71ce,7500,178,64054,64,42539,95919
8044b490-98d2-4b04-981e-3d6a952c26d0,7495,178,63201,64,41896,94775
bab72ce0-5d2d-4b85-a897-98bd83e5e6d7,7499,177,64154,64,42608,96047
e251c8df-8de6-4b4b-be02-77625c88ce27,7481,180,63047,64,41785,94551
72776927-f956-4db5-9530-5da4b801d349,7480,178,62870,64,41654,94315
86bb557b-9dd2-4982-adb2-5225a66879b9,7511,178,64272,64,42698,96223
28b1c9db-f378-4ed6-9eb4-a3e6d3b43a50,7495,178,63475,64,42088,95143
bd6400fb-50ae-4449-9e7e-924acd56a9a6,7490,178,62655,64,41475,94039
99f80d91-2ff7-4f37-af42-d53fda22f10f,7501,178,63463,64,42089,95135
7290b0bb-72d0-4375-a22f-482072d25881,7498,178,63259,64,41951,94859
e4f7d024-a0a8-446a-b61c-545f8cb885f7,7503,179,63681,64,42254,95422
3a8549c0-4bd9-42aa-a8ca-9f0ba72a19bf,7512,178,64513,64,42865,96547
b1faaf14-4584-46d3-84d8-4387102d41e1,7511,177,64596,64,42959,96651
f4623b8d-ddcf-41e5-bd47-157eabb4b7a5,7494,179,63194,64,41892,94763
47cf1694-2e20-4e20-943d-8dc273dd260b,7499,177,62657,64,41499,94051
ec993a13-24d3-4e21-b898-83b76e17e7d4,7494,178,64620,64,42973,96663
c6978e01-c4ac-4dfa-99ca-0dd0ded4bd37,7499,178,65290,64,43457,97567
6101c7c8-4154-422d-9754-6aec301fdfac,7496,178,63259,64,41951,94855
594c39f7-1f13-4fa0-b3a2-bb270311ed8d,7508,180,63786,64,42339,95571
55459a2a-7adb-47f9-9ffe-09d77a35edbb,7487,178,65595,64,43680,97955
85f133e5-1db7-4a7b-9b95-8b81a8196d80,7487,178,63274,64,41966,94863
c1fbb2e9-d26c-4770-a147-be8e65fa9bba,7503,178,63347,64,42015,94979
9014bdb7-2438-482d-9e36-1d679fa5b9f9,7508,178,63113,64,41838,94675
5021f497-293c-4ce4-8603-f083cd737510,7496,178,62519,63,41383,93863
af1d1135-f042-4b15-afe4-0163a9efbf27,7507,178,62660,64,41498,94071
27bef2fd-ac3a-4efb-91aa-e21c0e231075,7502,177,63200,64,41903,94778
4837ff0a-f60f-4948-8c0e-bb4e12094757,7499,179,64615,64,42959,96667
d8643052-3057-4c3b-bb8f-a00fc6e9f443,7496,179,63810,64,42336,95587
b7ed0047-a711-4564-9ed4-b31edd61d7b5,7506,178,63168,64,41877,94742
0998b187-94ca-4438-b608-d6db797eb64f,7509,178,64273,64,42710,96223
e3a00d32-0bff-4e5c-baf1-44ee134f560c,7497,178,63497,64,42118,95171
04fedf9a-4f3c-47a4-8211-bc3d3b6158c9,7495,178,64507,64,42884,96519
a19117aa-55bb-460c-8809-e7f6285f37b4,7502,179,63378,64,42042,95019
baaf014f-f86d-4daa-97ef-836f3de28496,7510,178,64420,64,42811,96423
f737884a-cd9e-4b5e-b65a-02b911317527,7503,178,62295,64,41218,93575
f8a61e79-deaa-43f5-a2b9-a4e99482cfae,7480,178,64211,64,42658,96103
114d8184-eff7-4cb3-8411-313f6a5620d4,7493,178,64054,64,42528,95910
c56081a7-f752-4e42-be75-fb9fd27f86b4,7503,178,63371,64,42005,95011
5734ba0b-f0ac-4b0a-9cdd-af92d174bdfe,7509,178,64335,64,42748,96302
724a5f3a-b631-4950-8003-fc1921c02f4a,7491,178,63485,64,42122,95147
eff8c374-3148-4569-a591-bb1d5994443f,7495,178,64181,64,42635,96083
71da04eb-6b08-4d63-bbb6-8d4a9da9ae26,7503,178,63335,64,42015,94963
d7867409-2a5d-464a-a48b-a36a7143cf3e,7491,178,64100,64,42575,95967
9d882d9d-73d1-45a4-b532-e3af2570c9a5,7491,178,62733,64,41551,94143
d0c175ce-b214-4760-be62-814a966e2952,7491,178,64467,64,42863,96455
95551a17-b667-4622-ab30-fc79085959ca,7488,178,63595,64,42181,95291
b7107617-d9a1-4795-8f27-b95228039c00,7499,178,62473,64,41354,93811
94aa8e3f-a79d-469e-a416-127ec624a400,7498,178,64340,64,42751,96299
886cbd3e-ac5c-4ce7-99a7-7a31c68ceaae,7516,178,63193,64,41886,94795
c1936bd4-097e-44bd-816d-f67e186c82a4,7513,177,63498,64,42122,95191
948fbe82-4b9b-46a0-89ac-1feee8a8f9c1,7514,178,63983,64,42483,95843
d757cecc-e12f-48bf-b1d3-f500c8d7981a,7502,178,63624,64,42220,95347
13a97b7a-9e97-4c90-9cf5-61889b13d361,7509,178,64516,64,42871,96547
5c2b4e20-bb05-4b9c-8551-4af9d2da735c,7511,177,64145,64,42619,96051
5e10e812-dce8-4bae-afaf-e2bd74b257ba,7504,177,64831,64,43116,96959
3f38ff4d-8998-4b67-b5cf-0e2b1adb2593,7489,179,64219,64,42662,96127
3f9e731e-6b04-481d-9fda-5119deb4c3c0,7505,178,63375,64,42030,95019
d0e31128-d7b7-414c-b68b-2d501ff41bcc,7507,179,64281,64,42712,96231
940b27f8-4ef6-4287-9cbb-36dc09acbaf3,7504,178,63285,64,41961,94899
548e25a2-32a9-43d8-a626-adbe18ea2622,7497,177,64975,64,43229,97139
894d2f74-ab66-4297-84a6-66895dfb2408,7501,178,63505,64,42127,95191
cc622e05-256b-4496-8dca-7d5b680658bc,7502,179,63995,64,42491,95843
9ad888ac-06a5-4c48-ad9c-c2250a790b2b,7503,178,62913,64,41665,94399
93a2c1bb-eb4a-4c2e-ad6a-1a0de8b1600d,7517,178,62354,64,41251,93675
438fa813-a7ab-4c70-9e0e-74872f72b621,7487,178,62424,64,41318,93727
218266de-72bb-4daf-96ca-494c5f019b05,7491,178,63350,64,41998,94967
a0301044-3ab2-4aa8-89d6-5e19c71fdd0c,7499,178,65216,64,43414,97467
d9cea02b-d039-490a-a916-802d06b3a2cc,7493,178,63219,64,41906,94795
6feb8dc6-8c04-41ec-b2b1-fc4644c86667,7513,177,64344,64,42759,96319
4c4fe3af-17a5-48e3-9c78-53ab94c065fe,7494,178,62363,64,41275,93655
ccc8d8b8-91e5-4f2b-af01-4966c23bac5c,7487,178,63639,64,42229,95347
b5eaee96-eaab-4417-b368-fba73977c892,7487,178,64987,64,43247,97147
518b2266-d88d-485e-8a64-363ee8f47bb5,7487,178,63568,64,42164,95255
20050676-7138-4df0-aaf0-fbccc4b171cf,7507,178,64725,64,43024,96823
c840bd72-cb60-46f4-ba42-fdfbef22c4f7,7502,178,63899,64,42422,95715
654c1f41-6660-4aad-9d37-aa4c9f0a7918,7494,177,63554,64,42151,95239
7c17c22f-6d67-45da-8707-d916b0575ef1,7499,178,63130,64,41824,94687
81921991-8606-4b2e-a95d-b786b3b28dc8,7511,179,64350,64,42757,96327
77342c9d-129a-4a99-b45a-692ad505640a,7518,178,63978,64,42468,95839
d128513f-04f3-49c9-a7ed-5c3db410f921,7502,178,64736,64,43037,96831
