attributes,small,medium,large
1,5851,61743,53111942
5,10107,65999,53116199
10,15427,71319,53121519
15,20755,76651,53126851
20,26091,81983,53132182
25,31435,87327,53137527
30,36763,92659,53142859
35,42099,97991,53148191
40,47435,103327,53153527
45,52763,108659,53158859
50,58099,113991,53164190
