attributes,small,medium,large
1,5851,61742,53111943
5,10154,66051,53116251
10,15667,71559,53121759
15,21315,77211,53127411
20,27107,82999,53133199
25,33099,88991,53139191
30,39163,95059,53145259
35,45362,101259,53151459
40,51698,107591,53157791
45,58163,114059,53164259
50,64763,120659,53170859
