attributes,setup,keygen,and_encrypt,or_encrypt,and_decrypt,or_decrypt
1,0.009098919899770408,0.006202785200002836,0.005640080200100784,0.005159092699977918,0.0039348219001112735,0.0037943461000395475
5,0.009098919899770408,0.023964743800024734,0.0175668518000748,0.017792386200017062,0.009775760499906028,0.0047849187998508565
10,0.009098919899770408,0.04244393469998613,0.03081209929987381,0.030566557700149134,0.015239366800233255,0.004662949799967464
15,0.009098919899770408,0.06240666150006291,0.04525010990000737,0.04434570630000963,0.022617630900276707,0.005049931399844354
20,0.009098919899770408,0.08215458240010776,0.05798743629966339,0.057956297300188454,0.02989420300000347,0.004975794200072414
25,0.009098919899770408,0.10183367320023536,0.0725751575002505,0.07253299529984361,0.03771786129982502,0.004943203999937395
30,0.009098919899770408,0.12159793870014254,0.08527187380022952,0.08646842390007806,0.04272999469976639,0.006090415799917537
35,0.009098919899770408,0.1420749977001833,0.09906571679966873,0.09884713560022647,0.048983713099733,0.005787936900014756
40,0.009098919899770408,0.16473553600008017,0.11695578799990472,0.11281605869990016,0.056505095800093844,0.006218410300061805
45,0.009098919899770408,0.18307296260027214,0.13148222239979077,0.12745994819997578,0.06316724089992931,0.006924010899820132
50,0.009098919899770408,0.2020113966998906,0.1413394562998292,0.1419585660998564,0.07028678599999694,0.007171455500065349
