attributes,small,medium,large
1,12295466,10303893,481617630
5,11118477,12062222,483187748
10,10840802,10136141,484115884
15,11409925,11110206,488474945
20,10661713,11877958,486018222
25,9173333,10455485,481608122
30,10157104,10444991,503107384
35,10753382,11320575,498410011
40,12475618,11669450,495422479
45,11715070,11998924,500066102
50,11546420,10607089,497080841
