attributes,small,medium,large
1,10888340,9968950,476806224
5,12015206,11096241,487902773
10,11027636,9514598,513733818
15,10685011,10191561,509620692
20,12084644,11659497,511026746
25,11822442,11726671,503147013
30,11341680,9404330,507805423
35,12846592,13073466,497261327
40,11678037,12835079,502256131
45,12142404,13171804,509866816
50,12119222,14788434,501131024
