attributes,small,medium,large
1,10671478,11745422,440572484
5,11355246,12079657,502485712
10,11336254,12560510,483285257
15,12294609,12578987,515722729
20,9741745,13220198,473067481
25,11759942,12522158,468997922
30,13059816,14311186,494265529
35,11538821,14324450,508942398
40,13904552,14297816,502196041
45,12498972,15203204,509708924
50,12401263,16452878,497719507
