attributes,small,medium,large
1,27392094,28341041,1491093910
5,69033254,95514240,1553480347
10,257223085,300283547,1656164458
15,562067305,621458637,1830177055
20,1012565909,972177706,2178530922
25,1391194040,1471334735,2428435157
30,2184252192,2093871836,2998355345
35,2775110606,2793035424,3788342934
40,3798699162,3736966142,4331195838
45,4624087805,4834302532,5476115204
50,5675726461,5746593826,5965073436
