attributes,small,medium,large
1,25597261,29088924,1266984562
5,47541085,52108836,1313296807
10,79962709,83531386,1303240230
15,111610384,106138555,1404308443
20,121287092,136707036,1348777475
25,155885772,154637202,1388939051
30,180562910,181070581,1320143126
35,186353982,200611155,1380157215
40,213310899,225335406,1348298939
45,251489759,240368088,1382240714
50,280801662,268511124,1389069517
