attributes,small,medium,large
1,19922234,18689369,1362408713
5,58270773,76946168,1337438718
10,155552659,168453729,1397561667
15,356868393,340984387,1546479187
20,502818312,533214750,1708107568
25,871610148,833513022,2021029018
30,1111718614,1148634595,2167055104
35,1614246472,1595327518,2587994938
40,1918269359,1881933051,2791477636
45,2512665585,2457201664,3324322138
50,2943699524,2978482830,3760623858
